2018-09-17	2800	점심	식비
2018-09-18	6000	저녁	식비
2018-09-18	2800	점심	식비
2018-09-19	2000	물티슈	생활비
2018-09-19	3600	점심	식비
2018-09-20	3800	점심	식비
2018-09-21	51850	통신비	통신비
2018-09-21	3500	점심	식비
2018-09-22	5000	저녁	식비
2018-09-22	2000	점심	식비
2018-09-23	4320	칫솔	생활비
2018-09-25	99000	전기장판	기타
2018-09-25	3000	파스	생활비
2018-09-27	10000	시계	생활비
2018-09-27	2800	점심	식비
2018-09-29	8000	기타	기타
2018-09-29	3600	점심	식비
2018-09-30	10000	토익책	책
2018-09-30	6500	점심	식비
2018-10-01	3800	점심	식비
2018-10-02	48900	토익	교육비
2018-10-02	3600	점심	식비
2018-10-03	8000	영화	유흥비
2018-10-03	1500	과자	간식비
2018-10-04	59300	교통비	교통비
2018-10-04	3800	점심	식비
2018-10-04	900	노트	문구비
2018-10-04	10340	옷	의류비
2018-10-07	3000	빵	간식비
2018-10-08	2800	점심	식비
2018-10-09	2400	토스트	식비
2018-10-09	5100	커피	유흥비
2018-10-09	5000	시계	의류비
2018-10-10	5000	점심	식비
2018-10-11	1500	과자	간식비
2018-10-11	3600	점심	식비
2018-10-12	2800	점심	식비
2018-10-12	1000	노트	문구비
2018-10-13	3200	과자	간식비
2018-10-13	5600	점심	식비
2018-10-14	2400	과자	간식비
2018-10-15	30600	캐리어	생활비
2018-10-15	7000	기타	기타
2018-10-15	10300	옷	의류비
2018-10-16	5000	저녁	식비
2018-10-16	3600	점심	식비
2018-10-17	2800	점심	식비
2018-10-18	13205	기타	기타
2018-10-19	6000	피자	식비
2018-10-19	3800	점심	식비
2018-10-20	3300	바디워시	생활비
2018-10-20	3000	토스트	식비
2018-10-20	18212	기타	기타
2018-10-21	16000	기타	기타
2018-10-22	51850	통신비	통신비
2018-10-22	7900	저녁	식비
2018-10-22	13500	약	의료비
2018-10-22	950	물	유흥비
2018-10-22	22100	승차권	교통비
2018-10-23	16000	기타	기타
2018-10-23	9200	택시	교통비
2018-10-24	20000	고량주	기타
2018-10-26	33396	문명게임	유흥비
2018-10-26	22100	승차권	교통비
2018-10-26	2800	도넛	점심
2018-10-26	42000	타이페이옵션	유흥비
2018-10-28	5000	스타2	유흥비
2018-10-28	44500	토익	교육비
2018-10-29	8500	치과비	의료비
2018-10-30	5000	저녁	식비
2018-10-30	3600	점심	식비
2018-10-31	2800	점심	식비
2018-11-01	46800	치과비	의료비
2018-11-02	2800	점심	식비
2018-11-03	2700	노트	문구비
2018-11-03	5500	점심	식비
2018-11-04	36430	백신	기타
2018-11-04	6000	저녁	식비
2018-11-04	5500	점심	식비
2018-11-04	2000	마스크	생활비
2018-11-05	60050	교통비	교통비
2018-11-05	2800	점심	식비
2018-11-06	2000	저녁	식비
2018-11-06	3800	점심	식비
2018-11-07	10000	왁스	생활비
2018-11-07	5100	커피	유흥비
2018-11-08	4800	점심	식비
2018-11-09	2400	과자	간식비
2018-11-09	3600	점심	식비
2018-11-10	2000	닭강정	간식비
2018-11-10	18000	USB	기타
2018-11-10	1800	볼펜	문구비
2018-11-10	2800	점심	식비
2018-11-11	44500	토익	교육비
2018-11-11	9500	돈까스	식비
2018-11-12	1500	과자	간식비
2018-11-12	2800	점심	식비
2018-11-13	2800	점심	식비
2018-11-14	31000	잉크	문구비
2018-11-14	7500	본죽	식비
2018-11-14	2900	약	의료비
2018-11-14	54000	사랑니	의료비
2018-11-15	3700	점심	식비
2018-11-16	2300	점심	식비
2018-11-18	10000	기타	기타
2018-11-18	2800	과자	간식비
2018-11-18	5000	점심	식비
2018-11-19	25800	책	책
2018-11-19	3000	토스트	간식비
2018-11-19	3800	점심	식비
2018-11-21	54180	통신비	통신비
2018-11-21	1500	간식	간식비
2018-11-21	3000	토스트	식비
2018-11-21	4800	약	의료비
2018-11-22	2250	기타	기타
2018-11-22	3600	점심	식비
2018-11-23	1000	물티슈	생활비
2018-11-23	3200	빵	간식비
2018-11-23	3800	점심	식비
2018-11-24	6000	저녁	식비
2018-11-24	5000	다이소	기타
2018-11-25	4800	성심당	식비
2018-11-26	16600	책	책
2018-11-27	10880	생선	기타
2018-11-27	4000	저녁	식비
2018-11-27	2800	점심	식비
2018-11-27	3380	우편비	기타
2018-11-27	44500	토익	교육비
2018-11-28	3600	점심	식비
2018-11-29	2800	점심	식비
2018-11-30	400000	치과비	의료비
2018-12-01	800	음료수	간식비
2018-12-02	6500	저녁	식비
2018-12-02	3500	점심	식비
2018-12-02	1000	다이소	기타
2018-12-04	1500	과자	간식비
2018-12-04	3600	점심	식비
2018-12-05	92650	교통비	교통비
2018-12-05	3800	점심	식비
2018-12-06	2800	점심	식비
2018-12-07	2000	테이프	생활비
2018-12-07	3000	다이소	기타
2018-12-07	3800	점심	식비
2018-12-08	900	커피	간식비
2018-12-08	11830	기타	기타
2018-12-10	2000	과자	간식비
2018-12-11	6000	저녁	식비
2018-12-11	3600	점심	식비
2018-12-12	7000	피자	식비
2018-12-12	2800	점심	식비
2018-12-12	1000	노트	문구비
2018-12-13	19000	기타	기타
2018-12-14	10000	영화	유흥비
2018-12-14	2800	점심	식비
2018-12-15	6000	점심	식비
2018-12-16	44500	토익	교육비
2018-12-16	9000	점심	식비
2018-12-16	2000	벽지	생활비
2018-12-16	16100	책	책
2018-12-17	4750	페브리즈	생활비
2018-12-17	1400	노트	문구비
2018-12-17	5000	점심	식비
2018-12-18	3800	점심	식비
2018-12-19	3600	편의점	기타
2018-12-19	1200	과자	간식비
2018-12-19	2800	점심	식비
2018-12-20	3500	점심	식비
2018-12-21	52540	통신	통신비
2018-12-21	3600	점심	식비
2018-12-22	3700	점심	식비
2018-12-23	5500	점심	식비
2018-12-24	3800	점심	식비
2018-12-24	1000	다이소	기타
2018-12-25	6500	커피	식비
2018-12-26	3600	점심	식비
2018-12-27	5500	점심	식비
2018-12-28	3600	점심	식비
2018-12-29	3000	다이소	생활비
2018-12-29	5000	저녁	식비
2018-12-29	3600	점심	식비
2018-12-30	16810	보조배터리	생활비
2018-12-30	2400	과자	간식비
2018-12-30	3200	점심	식비
2018-12-31	2440	점심	식비
2018-12-31	48900	토익	교육비
